@relation krkopt_clustered-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute Instance_number numeric
@attribute whitekingfile {a,b,c,d}
@attribute whitekingrank numeric
@attribute whiterookfile {b,c,d,e,f,g,h,a}
@attribute whiterookrank numeric
@attribute blackkingfile {c,d,e,f,g,h,a,b}
@attribute blackkingrank numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}
@attribute Cluster {cluster0,cluster1}

@data
26676,b,1,h,8,c,5,fifteen,cluster1
5730,d,1,b,8,a,6,eight,cluster1
9948,d,3,f,3,h,5,ten,cluster0
3406,d,3,g,3,b,1,four,cluster0
15097,c,3,h,6,e,3,twelve,cluster0
20920,d,3,f,7,e,5,thirteen,cluster0
2038,d,2,b,4,b,3,draw,cluster0
23220,c,1,e,7,b,6,fourteen,cluster1
9014,c,2,f,7,f,1,ten,cluster0
18765,c,2,d,2,g,5,thirteen,cluster0
26115,b,1,b,7,f,6,fifteen,cluster1
15892,d,2,g,6,e,7,twelve,cluster0
1902,d,1,g,2,h,2,draw,cluster1
6183,d,3,f,7,c,8,eight,cluster0
6156,d,3,e,6,h,7,eight,cluster0
7442,d,2,a,7,f,8,nine,cluster0
17470,b,1,h,1,b,3,thirteen,cluster1
18210,c,1,f,3,a,3,thirteen,cluster1
1492,c,3,e,5,f,5,draw,cluster0
6293,d,4,b,5,d,1,eight,cluster0
19277,c,3,c,1,f,4,thirteen,cluster0
16151,d,3,b,3,e,7,twelve,cluster0
16230,d,3,c,1,g,5,twelve,cluster0
24371,d,1,b,2,f,8,fourteen,cluster1
19916,d,1,h,5,c,5,thirteen,cluster1
1656,d,1,a,8,b,8,draw,cluster1
8383,a,1,h,3,d,1,ten,cluster1
10175,d,4,d,6,g,2,ten,cluster0
15572,d,2,a,8,h,8,twelve,cluster0
15788,d,2,e,6,a,5,twelve,cluster0
23068,c,1,d,2,f,8,fourteen,cluster1
17602,b,2,b,3,h,5,thirteen,cluster0
9951,d,3,f,4,b,4,ten,cluster0
19829,d,1,f,6,f,8,thirteen,cluster1
9198,c,3,d,7,g,2,ten,cluster0
2456,d,3,d,7,e,8,draw,cluster0
6109,d,3,d,5,f,4,eight,cluster0
10762,b,2,f,1,h,5,eleven,cluster0
15419,d,1,g,2,a,7,twelve,cluster1
14684,c,2,g,7,a,6,twelve,cluster0
18757,c,2,d,2,e,6,thirteen,cluster0
2631,d,3,h,7,h,8,draw,cluster0
20295,d,2,c,3,d,7,thirteen,cluster0
20090,d,2,a,8,g,6,thirteen,cluster0
10831,c,1,c,4,a,2,eleven,cluster1
9325,d,1,c,3,b,6,ten,cluster1
18622,c,2,b,5,e,5,thirteen,cluster0
3661,d,2,g,6,h,1,five,cluster0
4186,d,2,d,3,f,1,six,cluster0
3239,d,1,d,3,a,1,four,cluster1
6365,d,4,d,8,d,2,eight,cluster0
703,b,2,g,5,h,4,draw,cluster0
19834,d,1,g,1,a,4,thirteen,cluster1
3174,c,3,g,3,a,1,three,cluster0
15630,d,2,c,5,h,5,twelve,cluster0
24508,d,1,c,2,d,8,fourteen,cluster1
18293,c,1,g,8,a,8,thirteen,cluster1
4343,d,3,e,3,b,2,six,cluster0
2179,d,2,f,2,f,3,draw,cluster0
17086,b,1,c,2,h,3,thirteen,cluster1
22549,b,2,h,1,f,3,fourteen,cluster0
12482,d,3,c,1,h,6,eleven,cluster0
578,b,2,d,2,d,1,draw,cluster0
12524,d,3,c,7,h,4,eleven,cluster0
13581,b,2,a,5,g,6,twelve,cluster0
7852,d,3,g,4,a,6,nine,cluster0
10737,b,2,d,8,g,2,eleven,cluster0
25102,d,1,h,2,h,4,fourteen,cluster1
2983,c,2,g,1,a,1,two,cluster0
21797,b,1,e,5,f,3,fourteen,cluster1
25635,a,1,b,7,h,6,fifteen,cluster1
23337,c,1,g,1,c,7,fourteen,cluster1
25414,d,2,f,3,f,5,fourteen,cluster0
4454,d,4,c,4,h,1,six,cluster0
8128,d,4,d,6,e,1,nine,cluster0
11540,c,3,e,8,g,2,eleven,cluster0
10574,b,1,e,4,g,2,eleven,cluster1
5984,d,3,b,1,f,2,eight,cluster0
14771,c,2,h,8,c,8,twelve,cluster0
26191,b,1,c,4,e,6,fifteen,cluster1
17675,b,2,d,2,h,7,thirteen,cluster0
14585,c,2,e,8,h,3,twelve,cluster0
26736,b,2,d,6,f,4,fifteen,cluster0
17751,b,2,e,6,f,2,thirteen,cluster0
6103,d,3,d,4,c,7,eight,cluster0
8667,b,2,g,4,h,6,ten,cluster0
15331,d,1,e,3,f,5,twelve,cluster1
9419,d,2,a,2,h,3,ten,cluster0
26923,c,1,c,2,c,5,fifteen,cluster1
12405,d,3,b,1,c,8,eleven,cluster0
27942,a,1,h,8,f,5,sixteen,cluster1
4897,d,3,d,1,a,1,seven,cluster0
16329,d,3,d,2,f,3,twelve,cluster0
20506,d,2,f,3,d,6,thirteen,cluster0
18520,c,2,a,8,e,6,thirteen,cluster0
12972,d,4,b,7,g,6,eleven,cluster0
3165,c,3,d,3,c,1,three,cluster0
12847,d,3,h,5,c,7,eleven,cluster0
4239,d,2,g,3,h,1,six,cluster0
20724,d,2,h,1,e,6,thirteen,cluster0
13384,b,1,d,8,b,8,twelve,cluster1
6310,d,4,b,8,d,1,eight,cluster0
16340,d,3,d,6,g,4,twelve,cluster0
2861,c,2,f,7,a,1,one,cluster0
19206,c,2,h,8,e,7,thirteen,cluster0
11938,d,2,a,6,d,7,eleven,cluster0
22076,b,1,h,2,h,4,fourteen,cluster1
19598,d,1,d,2,g,8,thirteen,cluster1
14717,c,2,h,2,h,8,twelve,cluster0
22125,b,1,h,5,b,4,fourteen,cluster1
23765,c,2,b,8,e,5,fourteen,cluster0
12826,d,3,h,3,d,8,eleven,cluster0
10652,b,1,h,7,a,3,eleven,cluster1
21029,a,1,c,2,f,2,fourteen,cluster1
16309,d,3,d,1,e,5,twelve,cluster0
20487,d,2,f,2,b,7,thirteen,cluster0
10550,b,1,d,5,h,2,eleven,cluster1
23407,c,1,g,4,d,8,fourteen,cluster1
25195,d,1,h,7,b,5,fourteen,cluster1
17272,b,1,e,3,h,6,thirteen,cluster1
14036,c,1,e,8,g,7,twelve,cluster1
12887,d,3,h,8,f,8,eleven,cluster0
21081,a,1,d,4,c,2,fourteen,cluster1
8275,d,4,g,4,g,2,nine,cluster0
23497,c,1,h,1,f,5,fourteen,cluster1
17390,b,1,f,6,a,8,thirteen,cluster1
19692,d,1,e,1,g,2,thirteen,cluster1
24226,d,1,a,4,f,6,fourteen,cluster1
16152,d,3,b,3,e,8,twelve,cluster0
6490,d,4,f,7,f,1,eight,cluster0
14864,c,3,b,4,g,4,twelve,cluster0
3320,d,2,f,4,b,1,four,cluster0
5284,c,1,a,8,h,1,eight,cluster1
13995,c,1,e,1,h,6,twelve,cluster1
26568,b,1,g,8,d,7,fifteen,cluster1
10987,c,1,f,3,h,6,eleven,cluster1
19488,d,1,a,5,e,5,thirteen,cluster1
14178,c,2,a,1,a,5,twelve,cluster0
23031,c,1,c,5,e,3,fourteen,cluster1
4537,c,1,a,3,g,1,seven,cluster1
12693,d,3,e,7,g,5,eleven,cluster0
3726,d,3,c,2,f,1,five,cluster0
17990,c,1,c,6,h,3,thirteen,cluster1
27601,d,1,g,1,e,5,fifteen,cluster1
24747,d,1,e,6,a,6,fourteen,cluster1
18677,c,2,c,3,d,7,thirteen,cluster0
14466,c,2,e,2,g,3,twelve,cluster0
9736,d,3,b,1,b,7,ten,cluster0
10116,d,4,b,7,f,2,ten,cluster0
21021,a,1,b,8,h,6,fourteen,cluster1
26803,b,2,h,2,d,3,fifteen,cluster0
20717,d,2,h,1,c,7,thirteen,cluster0
16615,d,3,h,2,f,7,twelve,cluster0
11832,d,1,f,3,h,4,eleven,cluster1
22175,b,1,h,8,e,8,fourteen,cluster1
21108,a,1,e,1,g,1,fourteen,cluster1
21979,b,1,g,4,c,4,fourteen,cluster1
22116,b,1,h,4,f,8,fourteen,cluster1
22631,c,1,a,1,f,6,fourteen,cluster1
16819,a,1,d,4,c,1,thirteen,cluster1
17203,b,1,e,1,c,7,thirteen,cluster1
9873,d,3,e,4,g,6,ten,cluster0
5758,d,1,f,4,h,3,eight,cluster1
19765,d,1,e,6,b,8,thirteen,cluster1
16205,d,3,b,8,f,4,twelve,cluster0
27126,c,1,f,3,d,4,fifteen,cluster1
24461,d,1,b,8,b,5,fourteen,cluster1
27771,a,1,d,4,f,6,sixteen,cluster1
23930,c,2,f,7,c,5,fourteen,cluster0
21266,a,1,h,7,f,2,fourteen,cluster1
15165,d,1,a,7,a,4,twelve,cluster1
5594,c,3,c,4,g,1,eight,cluster0
20176,d,2,b,4,d,5,thirteen,cluster0
18781,c,2,d,3,h,5,thirteen,cluster0
10439,b,1,a,1,g,2,eleven,cluster1
15696,d,2,d,6,f,8,twelve,cluster0
17400,b,1,f,6,f,1,thirteen,cluster1
9747,d,3,b,5,g,8,ten,cluster0
14640,c,2,f,7,h,5,twelve,cluster0
13370,b,1,d,7,a,4,twelve,cluster1
13222,a,1,e,5,g,1,twelve,cluster1
8621,b,2,c,4,f,1,ten,cluster0
16149,d,3,b,3,e,5,twelve,cluster0
18510,c,2,a,8,c,7,thirteen,cluster0
12046,d,2,d,4,f,8,eleven,cluster0
18198,c,1,e,8,g,4,thirteen,cluster1
11509,c,3,e,3,h,7,eleven,cluster0
12958,d,4,b,4,f,4,eleven,cluster0
22225,b,2,a,6,f,5,fourteen,cluster0
3303,d,2,e,5,a,1,four,cluster0
17227,b,1,e,1,h,8,thirteen,cluster1
19338,c,3,d,7,e,4,thirteen,cluster0
3992,d,1,a,7,f,1,six,cluster1
6938,c,1,c,4,a,7,nine,cluster1
18370,c,1,h,8,a,8,thirteen,cluster1
11609,c,3,g,8,f,1,eleven,cluster0
21201,a,1,f,8,f,1,fourteen,cluster1
14770,c,2,h,8,b,8,twelve,cluster0
23862,c,2,d,3,e,6,fourteen,cluster0
6263,d,4,a,6,c,2,eight,cluster0
460,b,1,f,6,e,6,draw,cluster1
21870,b,1,f,1,f,8,fourteen,cluster1
17332,b,1,e,8,f,6,thirteen,cluster1
6485,d,4,f,7,c,1,eight,cluster0
12701,d,3,e,8,c,5,eleven,cluster0
8770,c,1,e,4,f,2,ten,cluster1
8661,b,2,g,2,h,4,ten,cluster0
22812,c,1,a,8,e,8,fourteen,cluster1
21334,b,1,a,2,g,4,fourteen,cluster1
14128,c,1,h,1,h,5,twelve,cluster1
2345,d,3,a,6,b,6,draw,cluster0
8448,b,1,c,2,b,6,ten,cluster1
737,b,2,h,5,g,4,draw,cluster0
13513,b,1,g,6,f,1,twelve,cluster1
18209,c,1,f,2,b,7,thirteen,cluster1
4508,b,1,b,2,a,8,seven,cluster1
16044,d,3,a,4,c,7,twelve,cluster0
4580,c,1,e,3,h,1,seven,cluster1
22018,b,1,g,6,a,5,fourteen,cluster1
10098,d,4,b,2,e,2,ten,cluster0
13342,b,1,d,3,a,3,twelve,cluster1
16198,d,3,b,8,d,6,twelve,cluster0
6841,b,2,g,1,h,5,nine,cluster0
3777,d,3,e,3,h,2,five,cluster0
5580,c,3,a,4,g,2,eight,cluster0
8638,b,2,d,4,d,1,ten,cluster0
16999,b,1,a,4,d,3,thirteen,cluster1
26302,b,1,d,6,d,2,fifteen,cluster1
14518,c,2,e,5,g,5,twelve,cluster0
24404,d,1,b,4,e,4,fourteen,cluster1
5550,c,2,g,3,f,1,eight,cluster0
4134,d,2,b,4,a,7,six,cluster0
25847,a,1,e,7,g,5,fifteen,cluster1
1139,c,2,a,6,a,5,draw,cluster0
16119,d,3,b,1,g,4,twelve,cluster0
16998,b,1,a,4,d,2,thirteen,cluster1
16836,a,1,d,6,g,2,thirteen,cluster1
26922,c,1,c,2,c,4,fifteen,cluster1
7909,d,4,a,1,h,8,nine,cluster0
26666,b,1,h,7,f,3,fifteen,cluster1
22226,b,2,a,6,g,4,fourteen,cluster0
12898,d,4,a,1,g,7,eleven,cluster0
25754,a,1,d,7,g,6,fifteen,cluster1
4936,d,3,e,5,f,1,seven,cluster0
1483,c,3,e,3,f,3,draw,cluster0
18455,c,2,a,4,d,5,thirteen,cluster0
1195,c,2,c,5,b,6,draw,cluster0
9356,d,1,e,4,c,3,ten,cluster1
26823,b,2,h,6,g,4,fifteen,cluster0
25724,a,1,d,3,h,5,fifteen,cluster1
16045,d,3,a,4,d,5,twelve,cluster0
2691,d,4,f,3,e,2,draw,cluster0
25742,a,1,d,6,h,6,fifteen,cluster1
27057,c,1,d,7,f,5,fifteen,cluster1
27034,c,1,d,6,d,3,fifteen,cluster1
6582,d,4,h,5,d,1,eight,cluster0
22768,c,1,a,7,c,5,fourteen,cluster1
11891,d,1,h,3,a,6,eleven,cluster1
27759,a,1,c,8,f,5,sixteen,cluster1
8647,b,2,e,1,h,1,ten,cluster0
890,c,1,d,5,d,6,draw,cluster1
8127,d,4,d,6,d,1,nine,cluster0
12702,d,3,e,8,c,6,eleven,cluster0
6471,d,4,f,5,h,7,eight,cluster0
10875,c,1,d,2,a,3,eleven,cluster1
11337,c,2,g,4,b,8,eleven,cluster0
7013,c,2,a,7,c,8,nine,cluster0
26862,c,1,b,2,e,6,fifteen,cluster1
8277,d,4,h,1,d,2,nine,cluster0
2912,c,1,d,6,a,1,two,cluster1
10870,c,1,d,1,b,7,eleven,cluster1
25568,a,1,a,8,g,6,fifteen,cluster1
11,a,1,c,3,d,3,draw,cluster1
2023,d,2,b,1,b,2,draw,cluster0
9394,d,1,h,3,a,8,ten,cluster1
8028,d,4,c,1,e,1,nine,cluster0
14237,c,2,a,5,g,5,twelve,cluster0
13308,b,1,b,6,f,2,twelve,cluster1
7463,d,2,c,3,b,8,nine,cluster0
26415,b,1,f,5,d,4,fifteen,cluster1
16239,d,3,c,2,d,7,twelve,cluster0
20672,d,2,g,6,d,6,thirteen,cluster0
4509,b,1,b,2,e,1,seven,cluster1
6669,b,1,c,2,b,5,nine,cluster1
20741,d,2,h,2,c,4,thirteen,cluster0
3991,d,1,a,6,h,1,six,cluster1
21858,b,1,e,8,e,3,fourteen,cluster1
10615,b,1,f,8,a,3,eleven,cluster1
7929,d,4,a,4,f,2,nine,cluster0
3207,d,3,b,5,a,1,three,cluster0
25903,a,1,g,5,d,3,fifteen,cluster1
22359,b,2,d,1,g,3,fourteen,cluster0
4693,c,3,e,3,g,2,seven,cluster0
17527,b,1,h,6,g,8,thirteen,cluster1
25855,a,1,e,8,d,3,fifteen,cluster1
25220,d,1,h,7,g,5,fourteen,cluster1
15903,d,2,g,8,b,3,twelve,cluster0
16159,d,3,b,3,g,5,twelve,cluster0
22439,b,2,e,5,g,5,fourteen,cluster0
11959,d,2,a,8,h,5,eleven,cluster0
4963,d,3,f,5,b,3,seven,cluster0
9333,d,1,c,6,a,7,ten,cluster1
4215,d,2,e,5,f,1,six,cluster0
1697,d,1,b,7,a,6,draw,cluster1
23988,c,2,g,5,c,4,fourteen,cluster0
8174,d,4,e,3,h,3,nine,cluster0
27383,d,1,b,7,f,7,fifteen,cluster1
2188,d,2,f,3,g,4,draw,cluster0
24894,d,1,g,1,b,6,fourteen,cluster1
10020,d,3,h,1,b,7,ten,cluster0
16379,d,3,f,1,c,5,twelve,cluster0
20459,d,2,e,8,c,8,thirteen,cluster0
20075,d,2,a,8,c,4,thirteen,cluster0
4276,d,3,b,4,a,7,six,cluster0
26107,b,1,b,7,e,3,fifteen,cluster1
24870,d,1,f,6,a,6,fourteen,cluster1
17741,b,2,e,3,h,6,thirteen,cluster0
11088,c,2,a,6,e,8,eleven,cluster0
15458,d,1,h,2,b,8,twelve,cluster1
5271,c,1,a,3,f,1,eight,cluster1
6763,b,2,a,2,h,1,nine,cluster0
19275,c,3,c,1,f,2,thirteen,cluster0
5630,c,3,d,8,f,1,eight,cluster0
27978,b,1,c,7,d,5,sixteen,cluster1
856,c,1,c,6,d,6,draw,cluster1
8258,d,4,f,8,g,3,nine,cluster0
27470,d,1,c,8,e,8,fifteen,cluster1
19863,d,1,g,5,d,3,thirteen,cluster1
25295,d,2,b,2,d,5,fourteen,cluster0
12427,d,3,b,3,h,8,eleven,cluster0
23845,c,2,d,1,f,5,fourteen,cluster0
344,b,1,d,6,c,6,draw,cluster1
19317,c,3,d,1,f,6,thirteen,cluster0
4520,b,1,e,2,g,1,seven,cluster1
18741,c,2,d,1,d,7,thirteen,cluster0
9968,d,3,f,8,a,5,ten,cluster0
7657,d,3,c,5,h,8,nine,cluster0
18074,c,1,d,8,h,8,thirteen,cluster1
3143,d,3,h,5,d,1,two,cluster0
20688,d,2,g,8,b,8,thirteen,cluster0
22415,b,2,d,8,d,2,fourteen,cluster0
1422,c,2,g,8,h,8,draw,cluster0
2405,d,3,c,1,b,2,draw,cluster0
1572,c,3,g,5,h,5,draw,cluster0
23925,c,2,f,6,f,2,fourteen,cluster0
26397,b,1,f,4,c,5,fifteen,cluster1
16634,d,3,h,3,f,6,twelve,cluster0
22846,c,1,b,1,h,6,fourteen,cluster1
12740,d,3,f,6,d,8,eleven,cluster0
174,a,1,h,3,g,2,draw,cluster1
13506,b,1,g,5,e,1,twelve,cluster1
14325,c,2,c,1,h,4,twelve,cluster0
1844,d,1,f,2,g,1,draw,cluster1
22691,c,1,a,3,f,3,fourteen,cluster1
19772,d,1,e,6,f,4,thirteen,cluster1
647,b,2,f,3,g,4,draw,cluster0
1913,d,1,g,4,f,4,draw,cluster1
19282,c,3,c,2,e,4,thirteen,cluster0
16959,a,1,h,6,h,1,thirteen,cluster1
19110,c,2,h,2,f,8,thirteen,cluster0
26596,b,1,h,2,d,3,fifteen,cluster1
5321,c,1,c,3,f,1,eight,cluster1
1157,c,2,b,4,c,4,draw,cluster0
17135,b,1,d,4,f,8,thirteen,cluster1
11251,c,2,f,1,b,7,eleven,cluster0
2535,d,3,f,7,g,8,draw,cluster0
21094,a,1,d,6,h,3,fourteen,cluster1
22805,c,1,a,8,d,7,fourteen,cluster1
17199,b,1,e,1,b,4,thirteen,cluster1
5684,c,3,g,5,h,7,eight,cluster0
23292,c,1,f,4,d,8,fourteen,cluster1
21589,b,1,c,2,f,8,fourteen,cluster1
20700,d,2,g,8,e,5,thirteen,cluster0
5797,d,1,h,7,a,2,eight,cluster1
27848,a,1,g,3,f,5,sixteen,cluster1
7979,d,4,b,2,h,8,nine,cluster0
12200,d,2,f,1,a,5,eleven,cluster0
18449,c,2,a,4,b,6,thirteen,cluster0
15535,d,2,a,5,d,8,twelve,cluster0
26113,b,1,b,7,f,4,fifteen,cluster1
12499,d,3,c,4,f,8,eleven,cluster0
25021,d,1,g,8,b,6,fourteen,cluster1
9065,c,2,h,8,g,1,ten,cluster0
25866,a,1,f,1,e,4,fifteen,cluster1
17867,c,1,a,5,d,6,thirteen,cluster1
10755,b,2,e,5,h,7,eleven,cluster0
18782,c,2,d,3,h,6,thirteen,cluster0
5955,d,3,a,5,f,4,eight,cluster0
20164,d,2,b,3,f,6,thirteen,cluster0
19237,c,3,a,7,e,4,thirteen,cluster0
23178,c,1,e,5,b,6,fourteen,cluster1
1867,d,1,f,5,g,4,draw,cluster1
692,b,2,g,4,f,5,draw,cluster0
20158,d,2,b,3,e,6,thirteen,cluster0
19817,d,1,f,5,c,3,thirteen,cluster1
23436,c,1,g,6,a,4,fourteen,cluster1
11638,c,3,h,7,g,2,eleven,cluster0
4512,b,1,b,3,a,6,seven,cluster1
26709,b,2,c,3,d,4,fifteen,cluster0
2474,d,3,e,6,e,5,draw,cluster0
17725,b,2,e,2,g,3,thirteen,cluster0
5417,c,2,a,6,e,1,eight,cluster0
6000,d,3,b,5,h,2,eight,cluster0
14337,c,2,c,4,h,6,twelve,cluster0
12261,d,2,h,1,h,4,eleven,cluster0
14071,c,1,f,5,h,6,twelve,cluster1
15619,d,2,b,8,h,8,twelve,cluster0
21014,a,1,b,7,c,1,fourteen,cluster1
10645,b,1,h,4,a,7,eleven,cluster1
27272,c,1,g,7,f,5,fifteen,cluster1
13829,c,1,a,6,a,2,twelve,cluster1
24388,d,1,b,3,e,7,fourteen,cluster1
10506,b,1,c,6,a,5,eleven,cluster1
23702,c,2,b,1,e,5,fourteen,cluster0
8358,a,1,d,8,h,1,ten,cluster1
18287,c,1,g,6,e,8,thirteen,cluster1
50,a,1,e,2,f,1,draw,cluster1
3086,c,3,h,1,b,1,two,cluster0
4767,d,2,b,3,a,8,seven,cluster0
14404,c,2,d,6,b,5,twelve,cluster0
3326,d,2,f,7,a,1,four,cluster0
8268,d,4,g,1,d,2,nine,cluster0
3551,d,1,g,8,b,1,five,cluster1
7025,c,2,b,6,h,2,nine,cluster0
20629,d,2,g,3,f,8,thirteen,cluster0
2684,d,4,f,2,e,1,draw,cluster0
2118,d,2,d,5,e,6,draw,cluster0
3654,d,2,g,4,b,2,five,cluster0
4660,c,2,f,4,h,1,seven,cluster0
24727,d,1,e,5,b,6,fourteen,cluster1
7361,c,3,h,5,d,1,nine,cluster0
27890,a,1,h,2,d,3,sixteen,cluster1
6702,b,1,d,5,h,1,nine,cluster1
5686,c,3,g,6,h,3,eight,cluster0
13589,b,2,a,8,e,2,twelve,cluster0
1835,d,1,e,8,e,7,draw,cluster1
12882,d,3,h,8,b,8,eleven,cluster0
4678,c,3,a,3,h,1,seven,cluster0
7212,c,2,h,7,f,8,nine,cluster0
18194,c,1,e,8,f,5,thirteen,cluster1
1024,c,1,f,8,e,8,draw,cluster1
22951,c,1,b,8,e,3,fourteen,cluster1
13877,c,1,c,4,e,2,twelve,cluster1
17799,b,2,h,1,f,2,thirteen,cluster0
26383,b,1,f,1,e,4,fifteen,cluster1
27402,d,1,c,1,e,4,fifteen,cluster1
23209,c,1,e,6,g,4,fourteen,cluster1
4940,d,3,e,6,e,1,seven,cluster0
17051,b,1,b,3,h,8,thirteen,cluster1
14118,c,1,g,8,e,1,twelve,cluster1
6019,d,3,b,8,f,1,eight,cluster0
9495,d,2,c,7,h,3,ten,cluster0
8312,d,4,h,7,h,2,nine,cluster0
6682,b,1,c,4,b,8,nine,cluster1
21463,b,1,a,8,g,5,fourteen,cluster1
10830,c,1,b,7,g,8,eleven,cluster1
17318,b,1,e,7,g,3,thirteen,cluster1
14360,c,2,d,1,h,5,twelve,cluster0
15119,d,1,a,1,a,6,twelve,cluster1
10507,b,1,c,6,a,6,eleven,cluster1
9180,c,3,c,8,f,2,ten,cluster0
25344,d,2,c,7,d,4,fourteen,cluster0
11485,c,3,d,8,h,4,eleven,cluster0
18252,c,1,g,1,a,6,thirteen,cluster1
9624,d,2,f,6,g,2,ten,cluster0
12363,d,3,a,5,c,5,eleven,cluster0
7323,c,3,f,6,h,1,nine,cluster0
1616,c,3,h,7,g,7,draw,cluster0
25121,d,1,h,3,e,7,fourteen,cluster1
1896,d,1,g,2,f,1,draw,cluster1
7605,d,3,b,6,h,6,nine,cluster0
12962,d,4,b,4,g,5,eleven,cluster0
11298,c,2,f,5,h,4,eleven,cluster0
16244,d,3,c,2,e,8,twelve,cluster0
7409,d,1,f,5,f,1,nine,cluster1
13325,b,1,d,1,b,5,twelve,cluster1
18501,c,2,a,7,g,7,thirteen,cluster0
22103,b,1,h,4,d,5,fourteen,cluster1
896,c,1,d,6,c,7,draw,cluster1
10924,c,1,e,4,f,8,eleven,cluster1
25221,d,1,h,7,h,5,fourteen,cluster1
24117,d,1,a,1,b,7,fourteen,cluster1
15978,d,2,h,8,b,4,twelve,cluster0
18962,c,2,g,1,e,4,thirteen,cluster0
13358,b,1,d,5,a,5,twelve,cluster1
25532,a,1,a,4,h,6,fifteen,cluster1
11830,d,1,f,3,g,7,eleven,cluster1
3469,d,1,a,3,h,1,five,cluster1
3829,d,3,g,4,b,3,five,cluster0
3936,c,2,b,2,a,7,six,cluster0
15820,d,2,e,8,b,7,twelve,cluster0
23606,c,1,h,6,b,5,fourteen,cluster1
13148,d,4,h,7,g,4,eleven,cluster0
13704,b,2,f,3,h,5,twelve,cluster0
1708,d,1,b,8,c,7,draw,cluster1
3333,d,2,g,2,b,1,four,cluster0
21017,a,1,b,7,h,4,fourteen,cluster1
