@relation 'krkopt_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0'

@attribute Instance_number numeric
@attribute -0.672whitekingfile=d-0.486whitekingrank+0.346whitekingfile=b+0.305whitekingfile=c+0.225whitekingfile=a... numeric
@attribute '-0.733whitekingfile=c+0.488whitekingfile=b+0.26 whitekingfile=a-0.188whitekingrank+0.187blackkingfile=d...' numeric
@attribute -0.491blackkingrank+0.383whitekingfile=a-0.318blackkingfile=b+0.287blackkingfile=g+0.275blackkingfile=f... numeric
@attribute 0.788blackkingfile=h-0.37blackkingfile=g-0.336blackkingfile=f-0.249whiterookfile=h+0.128whiterookfile=g... numeric
@attribute 0.658blackkingfile=g-0.644blackkingfile=f-0.264whiterookfile=g+0.259whiterookfile=f+0.071blackkingrank... numeric
@attribute 0.405whiterookfile=e+0.396blackkingfile=c-0.341blackkingfile=e-0.322whiterookfile=a-0.31whiterookfile=c... numeric
@attribute 0.593whiterookfile=e-0.378blackkingfile=e+0.271whiterookfile=a-0.269whiterookfile=h-0.266whiterookfile=g... numeric
@attribute -0.683whiterookfile=a+0.476whiterookfile=c+0.377blackkingfile=a-0.259blackkingfile=c-0.17whiterookfile=h... numeric
@attribute '-0.717whiterookfile=b+0.341whiterookfile=f+0.334whiterookfile=g+0.277whiterookfile=h+0.24 whiterookfile=e...' numeric
@attribute -0.574whiterookfile=d-0.539whiterookfile=h+0.368whiterookfile=f+0.248whiterookfile=g+0.199whiterookfile=a... numeric
@attribute -0.563whiterookfile=d+0.511whiterookfile=h-0.463whiterookfile=g+0.243whiterookfile=c+0.179blackkingfile=h... numeric
@attribute -0.649whiterookfile=f+0.543whiterookfile=g-0.275whiterookfile=d-0.265blackkingfile=f+0.229whiterookfile=c... numeric
@attribute -0.612whiterookfile=c-0.421blackkingfile=c+0.328whiterookfile=b-0.302whitekingfile=a+0.288whitekingfile=b... numeric
@attribute -0.709blackkingfile=e-0.493whiterookfile=e+0.212blackkingfile=f+0.168blackkingfile=a+0.167whiterookfile=f... numeric
@attribute '0.626blackkingfile=a-0.532blackkingfile=b+0.332whiterookfile=a-0.268whiterookfile=b+0.17 whitekingfile=a...' numeric
@attribute -0.808blackkingfile=d+0.294blackkingfile=c+0.265whitekingfile=b-0.258whiterookfile=d-0.154whitekingfile=a... numeric
@attribute 0.593blackkingfile=b+0.401whitekingfile=a+0.322blackkingfile=a-0.319blackkingfile=c-0.288whitekingrank... numeric
@attribute '0.969whiterookrank-0.141blackkingrank+0.12 blackkingfile=c-0.076whiterookfile=d-0.061whitekingfile=a...' numeric
@attribute '0.74 blackkingrank-0.395blackkingfile=c+0.225blackkingfile=f-0.209blackkingfile=b+0.194whiterookrank...' numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
21532,1.421879,1.353259,0.047278,-0.997602,-1.808904,0.620357,0.129863,0.336726,-2.208965,0.714609,0.101372,-0.816888,1.460018,0.501705,-1.394851,1.337873,-0.222174,0.008342,0.467757,fourteen,cluster4
5910,-1.27319,0.567821,1.364833,-0.812462,0.868581,-0.009739,-0.660659,-0.03773,1.066146,0.949246,-1.903811,2.164018,0.519073,0.528732,-0.079036,0.258768,0.042609,0.446381,-0.465413,eight,cluster3
15155,-0.36254,0.238008,-0.940264,-0.174965,-0.11782,-1.731111,-0.47915,-2.210591,-0.774061,0.540282,0.229666,0.049243,-0.445176,-1.968473,1.533535,0.088485,0.035536,0.299426,1.856332,twelve,cluster1
18358,1.259438,-1.209898,1.121031,-1.80729,-1.850506,0.624444,-0.32105,-0.444166,0.877011,-1.286553,1.619454,-0.329332,0.265048,0.957579,-0.518151,0.19617,0.158705,0.736863,-0.065555,thirteen,cluster3
10617,1.278587,0.858006,-1.814671,-0.007095,0.602773,-0.615049,-0.494109,1.671262,0.736143,1.054789,0.150883,-1.936919,1.333813,1.235459,1.65882,1.306189,0.860714,1.563579,-0.043557,eleven,cluster0
14566,0.275605,-1.638498,-0.832076,-0.074362,-0.000936,0.518482,2.182959,0.325411,0.970604,0.157131,0.183182,0.069126,-0.340458,-1.789946,-1.844854,-0.492182,1.887476,1.757131,-0.695015,twelve,cluster0
22451,0.931466,1.34508,0.167927,-1.034924,1.775559,0.610776,2.538164,0.633304,0.725775,0.463022,-0.25643,0.628079,0.937675,-0.900565,-0.394253,0.996194,-0.7524,0.795204,0.283277,fourteen,cluster3
14293,0.665613,-1.751596,0.495226,-0.748918,-1.663107,1.122741,-0.066257,0.115818,-2.148889,0.750423,0.240424,-0.680018,0.653649,0.601315,-1.526327,0.435866,-0.253176,-0.136597,1.259534,twelve,cluster2
26609,1.470113,1.531148,-0.163798,-1.826621,1.74109,0.098087,-0.069842,-0.425767,0.933922,-1.428527,1.041388,0.945518,1.275654,0.827776,-0.616404,1.221194,-0.457429,-1.040026,0.069624,fifteen,cluster3
12758,-1.835186,-0.096965,-1.570237,0.79611,-0.482831,1.68456,-1.252107,-1.185859,0.620195,0.256827,-2.044757,1.309043,-1.311789,0.370234,0.04885,1.190894,-1.733207,-0.32256,-0.368973,eleven,cluster1
27415,-0.397709,0.589836,-0.410458,-0.269369,-0.192861,-1.699056,-1.226856,1.31117,-0.543538,0.089793,0.709274,0.625582,-2.030186,-1.934986,0.501045,0.206739,-0.64314,-1.364797,0.721546,fifteen,cluster4
16938,1.744664,1.967349,1.067152,0.511478,-0.69496,1.773362,-1.772529,-0.301787,0.88027,1.200409,-1.126918,1.704384,-0.740069,0.456146,0.770408,-3.201808,1.205811,-0.156359,-0.483639,thirteen,cluster4
10958,1.237504,-1.340433,0.197751,-0.555475,2.633524,0.017333,-0.302234,0.120512,1.192115,1.34567,-0.257071,-1.253935,-0.170089,1.146282,-0.699947,0.357427,-0.158835,-1.504919,0.701963,eleven,cluster3
13500,1.279886,0.929042,-1.387177,-0.020149,-1.002517,-0.237805,-0.521742,1.334248,0.90665,0.845967,-1.282256,1.618873,1.765205,1.006356,1.766221,1.302252,0.88154,-0.036492,-1.071045,twelve,cluster0
3755,-1.893154,-0.492696,-0.277621,-0.261818,-0.149521,-0.549027,0.169156,1.515973,-0.406419,-1.656358,-1.623759,-0.833489,1.124483,0.361607,2.446709,-0.472321,0.62319,-0.42974,-0.791285,five,cluster0
26240,1.85949,1.53982,-0.574092,-0.486495,-0.330077,-2.537821,-0.69376,1.610527,-0.691631,0.024079,0.732841,0.644296,-1.213972,-1.659108,0.144711,0.831087,-0.954758,1.348699,0.222192,fifteen,cluster4
4656,0.738183,-1.358104,1.558697,-0.813591,2.46201,-0.424838,-0.353388,0.278947,1.270868,1.47109,-0.193003,-1.271071,0.155181,0.960916,-0.518054,0.117017,-0.134585,-0.317515,-0.96302,seven,cluster3
13818,1.216214,-1.422729,-0.323777,2.245253,0.13473,-0.844559,1.276776,-2.211018,-0.567652,0.125202,0.874953,0.338098,-0.198102,0.81341,0.50577,0.212524,0.300068,-0.881313,1.300526,twelve,cluster2
25896,1.487768,1.190608,0.657082,0.857917,-0.452914,2.865589,-2.098398,-1.283039,0.694455,0.238106,-2.224123,1.176318,-2.474886,0.053704,0.921072,0.608264,0.746394,-0.707208,-1.459877,fifteen,cluster4
25515,1.457246,1.304506,2.084541,-0.671059,-1.633411,0.578139,0.350726,-2.390203,-0.542869,0.683911,0.094,-0.73379,-1.619943,0.476046,1.402165,-0.218126,2.138952,-1.048672,1.020286,fifteen,cluster4
6067,-1.855832,0.619637,1.741205,-1.257714,1.589726,-1.260998,0.266548,1.514239,-0.480049,0.211963,0.256691,1.265838,-1.518264,0.493976,-0.089193,0.175931,-0.481079,0.65992,-0.677097,eight,cluster2
22819,1.236313,-1.287759,0.678276,-1.089506,1.724909,-1.002034,1.263573,-2.016608,-0.654931,0.744324,-0.100612,0.781025,-0.24469,0.840743,0.621609,0.06061,0.589716,1.420668,0.638893,fourteen,cluster2
23992,1.165789,-1.748234,0.183895,0.138397,-0.95727,-0.973629,-1.810115,-0.153952,1.084565,0.927466,-1.206596,1.690014,0.228029,-1.631231,0.042464,-0.078027,-0.707755,0.291288,0.207963,fourteen,cluster3
9732,-2.030322,-0.445251,-0.656434,-0.29077,-0.16403,-1.051415,0.611293,-0.81119,-0.81798,0.592146,0.380206,0.128813,0.681178,0.605683,3.196511,0.287694,1.274974,1.401137,-0.071374,ten,cluster2
3660,-1.715679,0.339402,-0.70189,0.121275,-0.921593,-0.519353,-0.716773,-0.268131,1.261258,0.537961,-1.584191,1.524833,-0.004228,-0.344789,-1.662879,-0.244123,2.149736,0.903165,-1.193707,five,cluster0
3913,0.900664,1.725411,1.050993,-1.339572,1.546506,-1.652439,0.803305,1.635565,-0.321927,0.32487,0.338696,1.27889,-0.824493,0.754932,-0.472327,1.028974,-0.78563,-0.960389,-1.507678,six,cluster2
21578,1.386079,1.645508,-0.756625,-0.919266,-1.77989,-0.899829,0.955969,1.419134,-0.492115,0.194321,0.72868,-0.033394,-1.527352,1.179105,-0.84273,1.351976,-0.947139,-1.913155,1.089391,fourteen,cluster4
17807,0.942408,1.236339,-0.658776,1.411645,0.081528,-0.089127,-0.051297,-0.508041,0.866944,-2.13311,2.002445,0.512534,1.459838,0.786829,-0.724043,1.201086,-0.852723,-0.706656,0.722539,thirteen,cluster3
4854,-1.832515,0.309366,1.603969,-1.133661,-1.916815,-1.00312,1.066018,-2.068641,-0.455029,0.938073,0.342659,-0.663789,-0.111804,0.506143,0.91453,0.114386,0.1163,-0.163007,-0.521448,seven,cluster2
26979,1.199078,-1.006003,0.786023,-1.112793,1.69478,-0.946897,0.541865,1.498478,-0.578902,0.165105,0.328725,1.369834,-1.927325,0.96724,-0.493077,0.19889,-0.129263,0.905032,0.417225,fifteen,cluster2
21302,1.867658,1.140303,-1.375875,-0.235361,-0.155666,-2.237605,0.095078,-2.120489,-0.524529,0.701329,0.365377,0.087573,0.369578,-1.735264,1.077976,0.899946,-0.604291,-1.720457,0.751207,fourteen,cluster4
14617,0.717444,-1.575405,0.258388,-0.532383,2.639819,-0.175982,-0.259641,0.143606,1.073313,1.247929,-0.266938,-1.22617,-0.111177,1.190009,-0.797195,0.27627,-0.428006,0.15595,1.181432,twelve,cluster3
1388,0.717289,-1.526809,0.685647,-0.502833,-2.53906,0.360326,-0.223015,-0.162361,1.11693,1.046257,-1.250666,0.98238,0.02131,1.142373,-0.772856,0.264059,-0.380913,-0.235002,0.597842,draw,cluster3
8849,0.50866,-2.16572,-0.706862,-0.264991,-0.142507,-0.976794,0.877207,-0.790505,-0.726645,0.705008,0.542915,0.235637,0.52628,0.936655,2.859772,0.189444,1.438225,1.009944,-0.323821,ten,cluster0
2517,-1.811168,0.253714,0.95897,-0.698766,2.529391,-0.375031,-0.572429,0.190591,1.080756,1.246648,-0.39268,-1.355444,0.1769,0.744491,-0.320885,0.294893,-0.444546,0.310411,0.361653,draw,cluster3
1459,-0.254641,-1.782993,-0.035126,-0.255081,-0.144341,-1.787918,1.230407,-2.296106,0.03199,0.686778,0.426962,0.167458,-0.330773,-0.274291,-0.94269,-0.565495,2.106896,-1.218869,-2.464726,draw,cluster1
23570,1.255329,-1.280811,0.361935,1.386297,0.070452,0.444534,-0.399733,-0.559208,0.921493,-1.999845,2.099357,0.561789,0.634729,0.748644,-0.479603,0.254253,0.023131,-0.588541,0.248032,fourteen,cluster3
1272,0.94758,-0.952478,-0.691083,0.070949,0.088275,1.647739,1.879526,0.466456,0.656955,1.001043,0.844691,0.329044,0.153488,-0.816486,-0.037672,-2.894042,-1.070877,0.033882,-0.275764,draw,cluster1
16406,-1.391111,-0.1069,-0.232177,0.203222,0.675722,-1.220227,-2.030392,0.03059,1.126642,1.209747,0.151693,-1.964036,-0.018159,-1.79017,0.234601,0.137504,-1.088989,-1.114357,0.808008,twelve,cluster3
1172,0.679097,-1.856413,-0.704741,0.296226,0.237756,2.194476,-0.918061,-0.697336,-2.566947,0.151135,-0.380596,-0.288946,-0.630062,0.002528,-0.787042,1.065623,-1.082692,0.971628,-1.350168,draw,cluster1
5559,0.746384,-1.374348,1.256115,2.351384,-0.83283,-0.22239,-0.40895,-0.043223,1.131028,0.416385,-0.762722,1.822176,0.634619,0.747149,-0.427267,0.077881,-0.075198,0.513812,-0.723105,eight,cluster3
12489,-1.882152,0.412571,0.307341,2.16755,0.056766,-1.029123,0.31025,1.280206,-0.471286,-0.489309,1.20395,0.83752,-1.561724,0.545385,-0.296529,0.376207,-0.86032,-1.342701,0.727682,eleven,cluster2
11862,-0.764134,0.567318,-0.309563,2.494503,0.866011,-0.165771,-0.661797,0.169044,0.815529,0.444227,0.429222,-1.86212,0.005709,0.772516,-0.220551,0.427865,0.1167,0.993273,1.668226,eleven,cluster3
4359,-2.020169,-0.32855,-0.141196,-0.27123,-0.130609,1.069398,1.535197,1.804029,0.579286,0.42082,0.310318,0.024051,1.034646,-1.166676,2.429739,0.262277,0.833357,1.318403,-0.81651,six,cluster0
26277,1.830867,1.953701,-1.484047,-0.13761,-0.057054,-0.474359,0.721479,0.404208,-0.485068,-1.18796,-1.259064,-0.659668,0.998987,0.662259,0.072001,-2.723704,-1.257872,-0.782722,-0.543264,fifteen,cluster4
11306,0.734046,-1.463718,0.92317,-0.702068,2.532455,-0.377385,-0.313266,0.260696,1.058121,1.289639,-0.262918,-1.251832,0.010637,1.096865,-0.643674,0.15414,-0.207362,1.193059,0.364165,eleven,cluster3
536,1.479839,1.477664,-0.70561,2.424314,-0.775284,-0.451548,-0.104957,0.030771,0.815145,0.10469,-0.995353,1.736977,1.127711,0.919569,-0.618355,1.156238,-0.370091,1.494202,1.043636,draw,cluster3
8013,-2.370618,-0.013257,2.120066,-1.073218,-1.881678,0.581578,-0.397451,0.265142,-2.103218,0.815701,0.161428,-0.810747,1.180736,0.04204,-0.964271,0.276608,-0.359702,1.080014,-0.567068,nine,cluster2
23074,1.34858,-1.52,-0.04438,-0.79067,1.910154,-0.198186,0.907812,0.13737,-0.268703,-1.60475,-2.125921,-0.139934,-0.00946,0.76142,-0.377861,-0.514744,-0.39695,-1.572573,1.394408,fourteen,cluster3
13565,0.932331,1.38483,0.392508,1.889195,-0.095376,-1.727134,1.498715,-1.968416,-0.384121,0.273958,0.8693,0.228261,0.979625,0.550894,0.636617,0.937574,-0.168127,-1.347639,-1.027577,twelve,cluster2
26676,1.478001,1.332806,-1.790935,-0.658061,0.11943,1.377628,-0.82914,-1.231024,0.27247,-2.126106,0.830491,0.002889,-0.400799,0.496333,-0.047028,1.876872,-1.325626,2.001292,-1.268046,fifteen,cluster4
5730,-1.010292,-0.236618,-1.370082,-0.136351,-0.044727,1.132449,-0.918336,1.461331,-2.552985,0.406236,0.086425,-0.071874,1.547236,0.253625,1.410935,0.722198,1.542697,1.169941,0.854878,eight,cluster2
9948,-1.812587,0.231444,0.626574,2.456614,0.825695,-0.444617,-0.615103,0.129745,1.114853,0.645946,0.575924,-1.825104,0.341514,0.631147,-0.278554,0.310509,-0.488905,-0.529847,0.291006,ten,cluster3
3406,-2.241983,0.170453,-0.238697,0.112024,-0.935598,-0.633117,-0.691175,-0.304254,1.44891,0.66211,-1.499858,1.544412,0.167463,-0.422608,-1.69653,-0.288633,1.822288,-0.283009,-1.967303,four,cluster0
15097,0.64912,-1.910377,0.69667,-1.032632,-0.200749,-0.865217,-1.802709,-0.537827,0.948951,-1.391215,1.742631,0.443468,0.623686,-1.792775,0.060823,-0.180718,-0.928283,0.763366,-0.261375,twelve,cluster3
20920,-1.376575,-0.065284,0.010545,0.104654,0.61327,-1.398547,-2.05802,0.141004,0.956956,1.122727,0.105443,-1.977229,0.00603,-1.790305,0.305925,0.035399,-0.908647,1.071339,0.90386,thirteen,cluster3
2038,-1.769439,0.148133,-0.688595,-0.145829,-0.058866,0.270008,-0.569638,-0.011324,-1.870329,0.341427,-0.051492,-0.142193,0.682606,-0.943053,-2.382227,-0.061077,2.260658,-0.209645,-1.116054,draw,cluster0
23220,0.789451,-1.510151,-1.533115,0.023762,0.069367,0.784909,2.182738,0.267593,0.914649,0.096712,0.134117,0.06167,-0.540126,-1.704859,-1.877877,-0.359735,2.059226,1.182222,0.067715,fourteen,cluster0
9014,0.738807,-1.379533,1.563338,-0.78068,-1.117732,-0.291432,-0.291381,0.326466,1.105989,1.45495,0.245426,-2.619383,-0.147512,1.149518,-0.596467,0.094575,-0.083673,1.316219,-0.434134,ten,cluster3
18765,0.836806,-1.612804,0.870127,-0.9292,1.814318,-0.488983,0.893908,0.206762,-0.154496,-1.491611,-2.057212,-0.139248,0.237127,0.633395,-0.301415,-0.664288,-0.536226,-1.359651,0.217611,thirteen,cluster3
26115,1.421884,1.318729,-0.161314,-0.96689,-1.789524,0.619069,0.141737,0.341625,-2.305207,0.638599,0.070746,-0.811189,1.409311,0.551777,-1.433624,1.340802,-0.230003,0.794942,0.966809,fifteen,cluster4
15892,-0.861419,0.065039,-0.680185,0.251148,-0.882957,-0.757453,-2.062126,-0.244029,0.879023,0.701465,-1.438015,1.582505,0.13634,-1.834177,0.302757,0.169766,-0.73173,0.46956,1.637207,twelve,cluster3
1902,-0.752465,0.747005,0.768085,2.340844,-0.828184,0.087045,-0.736303,-0.100299,1.084813,0.346985,-0.966949,1.671221,0.57028,0.428867,0.02642,0.344301,0.284237,-0.843531,-0.431489,draw,cluster3
6183,-1.828187,-0.094893,-1.561044,0.708965,1.059087,1.207258,-1.257224,-0.79275,0.490213,0.524509,-0.594294,-2.262429,-1.65692,0.527729,0.037596,1.132302,-1.639796,1.402766,0.000356,eight,cluster1
6156,-1.834753,0.178456,0.297649,2.2718,0.159075,1.033976,1.979609,0.390136,0.657467,-0.233436,0.643472,0.155348,0.372964,-1.253328,-0.026161,0.218368,-0.598616,0.663402,1.202319,eight,cluster3
7442,-1.331106,0.25899,-0.169284,-0.823815,-1.712694,-0.589184,1.138669,-2.200805,-0.764256,0.637343,0.206356,-0.636325,-0.542276,0.798786,0.659741,0.346485,0.101036,0.647404,2.226626,nine,cluster2
17470,1.035917,1.410367,-1.585242,-1.023794,-0.131835,-0.510296,-0.170579,-0.604971,1.265801,-1.704943,1.408958,0.284954,0.88932,-0.167425,-2.065327,0.652845,1.771764,-1.244589,-1.815882,thirteen,cluster0
18210,1.052752,-1.903227,-0.777205,0.077893,0.65337,-0.043777,-0.779697,1.494929,1.013798,1.299925,0.336769,-1.850264,0.601711,1.176796,1.764161,0.405712,1.245595,-0.478961,-0.803473,thirteen,cluster0
1492,0.173736,-1.713157,1.032824,-0.80506,-1.690992,1.2748,2.382554,0.433644,0.851446,0.658007,0.393287,-0.59369,-0.066185,-0.719631,-0.531246,0.080056,-0.741476,0.286184,0.520849,draw,cluster3
6293,-2.123072,0.543944,0.65076,-0.175748,-0.097036,0.839465,-0.863008,0.266729,-2.206299,1.206877,0.666538,0.137265,1.521393,-0.082562,-0.543122,-2.739071,-1.02438,0.428138,-1.638225,eight,cluster1
19277,0.130486,-1.442488,1.26086,-0.95941,-1.824988,-0.838328,0.69682,1.351762,-0.257044,0.431565,0.962427,0.080642,-1.957743,1.043277,-0.75354,0.20663,-0.946062,-1.657291,-0.282867,thirteen,cluster2
16151,-1.437328,-0.293155,-0.193945,-0.044593,-0.046542,-0.133173,-1.893894,0.009601,-2.140892,0.5825,0.157053,-0.067085,0.987289,-2.495992,-0.440942,0.279966,-0.898965,-0.980196,1.111236,twelve,cluster1
16230,-1.882816,0.468359,0.843453,-1.008849,1.747236,-0.932591,0.343301,1.319681,-0.371151,0.210693,0.276955,1.302552,-1.671843,0.601523,-0.304737,0.371831,-0.832776,-1.713657,0.21429,twelve,cluster2
24371,-0.837386,0.333203,-0.211147,-0.709358,-1.626775,1.482204,-0.377236,0.030694,-2.215367,0.651593,0.027535,-0.823133,0.546179,0.318837,-1.120713,0.733551,0.04914,-1.556567,1.880229,fourteen,cluster2
19916,-0.768817,0.422413,-1.39433,-0.520115,0.206501,2.089389,-1.385363,-1.452913,0.326856,-2.100832,0.782639,-0.026877,-1.185247,0.206053,0.37133,1.178755,-0.882957,0.624264,-0.842813,thirteen,cluster1
1656,-1.23754,0.295071,-2.262279,-0.02363,0.021354,-1.244156,0.95995,-2.370033,-0.589381,0.153617,0.009554,0.036473,-0.852103,-0.249992,-0.711241,-0.166152,2.62358,1.206495,1.169869,draw,cluster1
8383,1.748062,2.005648,1.310699,-0.651932,0.074647,2.073802,-1.795842,-0.703858,0.767215,-1.096541,1.80155,0.435771,-0.454031,0.300947,0.847242,-3.220413,1.246627,-0.558549,-0.933392,ten,cluster4
10175,-2.207717,0.017897,1.849689,-1.12259,1.678499,-0.931376,0.607338,0.304889,-0.245591,-1.561203,-2.184158,-0.248597,0.627246,0.1958,0.125721,-0.758087,-0.764819,0.518306,-0.451779,ten,cluster3
15572,-1.314458,0.301789,-0.253847,2.1807,0.088594,-1.021813,1.001859,-2.16581,-0.810945,-0.08082,0.668315,0.226993,-0.058357,0.510974,0.86111,0.254101,0.235396,1.208336,1.892919,twelve,cluster2
15788,-1.510473,-0.236758,-1.060579,-0.123006,-0.02862,1.385854,1.551351,1.718163,0.503068,0.33097,0.252591,0.024435,0.791848,-1.045785,2.348643,0.425989,0.947989,0.680868,0.2753,twelve,cluster0
23068,1.340895,-1.545478,-0.059242,-0.718984,-1.644975,0.037854,0.978822,0.118996,-0.281623,-1.52773,-1.643562,-1.483964,-0.296999,0.921485,-0.474874,-0.480514,-0.444617,-1.637294,1.583348,fourteen,cluster3
