@relation spambase_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A58-N200-T1.0E-4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Source_38 numeric
@attribute Source_39 numeric
@attribute Source_40 numeric
@attribute Source_41 numeric
@attribute Source_42 numeric
@attribute Source_43 numeric
@attribute Source_44 numeric
@attribute Source_45 numeric
@attribute Source_46 numeric
@attribute Source_47 numeric
@attribute Source_48 numeric
@attribute Source_49 numeric
@attribute Source_50 numeric
@attribute Source_51 numeric
@attribute Source_52 numeric
@attribute Source_53 numeric
@attribute Source_54 numeric
@attribute Source_55 numeric
@attribute Source_56 numeric
@attribute Class {1,0}

@data
-0.311261,0.130248,0.567554,0.850579,-0.003623,1.026532,-0.49323,0.306428,0.097265,-0.017026,0.150023,-0.277649,0.934226,0.117436,0.117385,-0.663308,0.217543,-0.259379,-0.016496,-0.857059,0.105456,0.034895,-0.698454,0.054072,-0.349387,-0.549427,-0.044942,0.352066,0.589591,-0.445959,0.437425,0.322318,-0.353075,0.838496,0.698741,0.00313,-0.711114,-0.311753,0.009841,-0.064658,-0.041926,-0.130406,-0.867437,-0.278508,-0.321753,0.039374,0.349758,-0.041632,0.684858,0.571494,0.501871,0.141051,0.544971,-0.064717,0.279011,0.025665,0.145464,0
-0.081144,0.025725,0.129867,0.198864,-0.002368,0.243697,-0.121862,0.07279,0.028913,-0.017932,0.035466,-0.070499,0.228975,0.032621,0.035321,-0.175635,0.042996,-0.059739,-0.011653,-0.212302,0.029987,0.008306,-0.1789,0.010038,-0.089069,-0.143352,-0.011532,0.082333,0.161178,-0.117866,0.114972,0.078786,-0.09111,0.202822,0.16887,0.00602,-0.175719,-0.085686,0.005488,-0.006188,-0.001297,-0.036074,-0.201788,-0.074951,-0.088094,-0.000418,0.072823,-0.013312,0.153981,0.141675,0.131955,0.03498,0.136959,-0.016578,0.069476,0.010604,0.041552,0
-1.012164,0.408007,1.884804,2.820194,0.014593,3.400793,-1.635085,1.011983,0.397342,-0.071492,0.501499,-0.908555,3.122802,0.437483,0.397835,-2.232567,0.704504,-0.835121,-0.101291,-2.878886,0.350772,0.129482,-2.380746,0.171235,-1.138295,-1.816346,-0.202361,1.150055,1.962915,-1.486637,1.449152,1.056077,-1.124763,2.781277,2.340958,0.010998,-2.377269,-0.978266,-0.006315,-0.2131,-0.165437,-0.479438,-2.905241,-0.930514,-1.087326,0.131439,1.127508,-0.133609,2.253534,1.887709,1.719721,0.476441,1.808995,-0.203554,0.914844,0.083645,0.522643,1
-0.404497,0.160978,0.737449,1.14371,-0.02436,1.384477,-0.643678,0.404477,0.169459,-0.014012,0.206154,-0.358764,1.233285,0.169164,0.157785,-0.887063,0.280103,-0.350229,-0.031469,-1.154653,0.156416,0.0335,-0.952763,0.046487,-0.46487,-0.751227,-0.084244,0.443833,0.799663,-0.592579,0.596229,0.415012,-0.456278,1.106015,0.949461,-0.012624,-0.945037,-0.403785,-0.025959,-0.069753,-0.078479,-0.183024,-1.171515,-0.365013,-0.450099,0.053271,0.432159,-0.052464,0.912868,0.765244,0.679633,0.207274,0.710012,-0.097445,0.35425,0.04664,0.206824,1
-0.216448,0.081515,0.407245,0.599233,0.001967,0.731843,-0.345526,0.218546,0.080289,-0.009626,0.104941,-0.19275,0.681834,0.092555,0.076818,-0.490864,0.14912,-0.179874,-0.012653,-0.625157,0.093595,0.041042,-0.526155,0.028337,-0.248898,-0.402002,-0.044793,0.248462,0.428547,-0.320571,0.31126,0.239235,-0.244214,0.602367,0.504203,-0.005223,-0.514056,-0.219249,0.004914,-0.041288,-0.038074,-0.094125,-0.626892,-0.198753,-0.234473,0.026702,0.240251,-0.02855,0.484399,0.395551,0.365157,0.102972,0.399916,-0.042751,0.186086,0.017628,0.104041,0
-0.212324,0.093605,0.383361,0.574017,-0.007149,0.693011,-0.330105,0.20339,0.090617,-0.008474,0.097489,-0.19399,0.647378,0.09104,0.074603,-0.463891,0.141502,-0.17051,-0.005833,-0.57708,0.054596,0.014252,-0.490098,0.045738,-0.244024,-0.381861,-0.044595,0.239153,0.423479,-0.292928,0.306271,0.20882,-0.237964,0.564112,0.464088,-0.007563,-0.477111,-0.207211,0.039425,-0.045224,-0.040185,-0.101647,-0.605298,-0.199965,-0.211945,0.033438,0.235931,-0.041427,0.45465,0.378978,0.357086,0.095748,0.357168,-0.0417,0.166524,0.029055,0.10136,1
-5.882556,2.320468,10.675901,16.107358,0.036629,19.608422,-9.363445,5.760913,2.162927,-0.38992,2.874889,-5.210871,17.961217,2.447237,2.272482,-12.774482,3.981374,-4.796651,-0.540898,-16.443961,2.059856,0.759257,-13.624758,0.940684,-6.706243,-10.506538,-1.112829,6.520329,11.3565,-8.474048,8.474099,6.094244,-6.478065,15.890954,13.406058,0.104552,-13.500559,-5.63283,-0.047635,-1.225633,-1.002054,-2.649632,-16.742023,-5.3354,-6.162498,0.744828,6.372555,-0.634726,12.838001,10.728147,9.784553,2.852908,10.356236,-1.23205,5.222582,0.547687,2.888623,1
-1.418513,0.570404,2.590661,3.911319,0.006295,4.765572,-2.271245,1.429603,0.516375,-0.075522,0.698125,-1.268307,4.34944,0.574816,0.550947,-3.106494,0.961506,-1.160269,-0.147894,-3.987264,0.501021,0.179771,-3.325358,0.232918,-1.649567,-2.580406,-0.288558,1.586854,2.744623,-2.061642,2.054906,1.461969,-1.563064,3.864282,3.255523,0.019075,-3.270253,-1.369995,-0.003391,-0.311883,-0.247774,-0.652325,-4.080521,-1.302419,-1.520362,0.174956,1.576682,-0.144214,3.100899,2.626074,2.377344,0.684843,2.532701,-0.28047,1.256769,0.12621,0.707511,1
-1.79867,0.689908,3.23769,4.891562,0.024463,5.954954,-2.835022,1.768092,0.66906,-0.109144,0.86778,-1.579775,5.459683,0.734999,0.687222,-3.877953,1.219228,-1.450025,-0.14332,-4.969342,0.633411,0.238331,-4.147743,0.281811,-2.0356,-3.204208,-0.322818,1.965844,3.43923,-2.584018,2.584553,1.851699,-1.963416,4.82576,4.070043,0.02854,-4.100211,-1.707762,-0.008235,-0.369556,-0.294014,-0.802577,-5.089654,-1.624023,-1.875081,0.213088,1.927586,-0.191672,3.915498,3.251335,2.967645,0.878846,3.162133,-0.34618,1.588958,0.157723,0.87278,1
0.021126,-0.006515,0.081291,0.092288,-0.008478,0.117299,-0.031604,0.015606,0.030739,-0.011493,0.023657,-0.014986,0.135189,0.023207,-0.000387,-0.04306,0.048635,-0.02608,-0.008822,-0.088874,0.028321,0.002772,-0.073333,0.020383,-0.063888,-0.056347,0.001996,0.009816,0.065838,-0.030924,0.038486,0.038302,-0.020694,0.050253,0.070991,0.006541,-0.084932,-0.055205,0.022165,-0.023515,0.052539,0.005112,-0.146517,-0.0284,-0.051022,0.012602,0.019543,0.025389,0.05152,0.092241,0.048469,-0.003805,0.051929,-0.023715,0.068355,0.012011,0.037422,0
-2.557916,1.011509,4.64948,7.022149,0.014282,8.518752,-4.071287,2.505285,0.946557,-0.163286,1.243414,-2.261214,7.795219,1.054422,0.993148,-5.57103,1.734543,-2.089489,-0.222506,-7.137408,0.888688,0.319084,-5.938197,0.407894,-2.937187,-4.577209,-0.478686,2.830792,4.922395,-3.691355,3.693,2.640837,-2.818118,6.902796,5.835438,0.02681,-5.861254,-2.448281,-0.009448,-0.549307,-0.419901,-1.15421,-7.292258,-2.305121,-2.677951,0.324709,2.769726,-0.273533,5.587142,4.651647,4.2597,1.242811,4.521744,-0.530251,2.273766,0.226987,1.252031,1
-4.383857,1.729519,7.977501,12.024189,0.017938,14.625538,-6.99359,4.304681,1.62585,-0.28903,2.152875,-3.883143,13.40766,1.822583,1.70291,-9.55291,2.976903,-3.589485,-0.399926,-12.253034,1.539222,0.559861,-10.195505,0.686172,-5.020637,-7.853335,-0.838125,4.869014,8.460296,-6.341564,6.335686,4.541164,-4.836661,11.866176,10.012952,0.059707,-10.065339,-4.218691,-0.02718,-0.924359,-0.747308,-1.974352,-12.498731,-3.983136,-4.618666,0.562153,4.749331,-0.479955,9.584199,8.004905,7.306417,2.111422,7.744701,-0.911897,3.897022,0.392138,2.151928,1
-0.370062,0.161201,0.674489,1.043546,-0.028161,1.273869,-0.597088,0.357801,0.112585,-0.020866,0.154873,-0.365771,1.136605,0.151914,0.141029,-0.82273,0.261781,-0.334121,-0.031072,-1.053902,0.124958,0.041597,-0.904655,0.056836,-0.428303,-0.656476,-0.060899,0.411507,0.732519,-0.558224,0.560091,0.374732,-0.40374,1.025013,0.863422,0.000807,-0.858326,-0.352117,0.008053,-0.072019,-0.042063,-0.207205,-1.085278,-0.324157,-0.385989,0.058079,0.405982,-0.047611,0.82764,0.690013,0.622487,0.186301,0.666702,-0.080744,0.355065,0.050216,0.172132,0
-0.15673,0.064257,0.251448,0.382081,0.003,0.475006,-0.244986,0.134282,0.054534,-0.04244,0.070614,-0.138037,0.413305,0.070934,0.061631,-0.307764,0.09248,-0.100282,-0.014665,-0.39754,0.067355,0.018992,-0.3315,0.022984,-0.166266,-0.260187,-0.00444,0.159634,0.266974,-0.206567,0.22039,0.152491,-0.193535,0.386612,0.31715,-0.007636,-0.334637,-0.143443,-0.00861,-0.022596,-0.001409,-0.057466,-0.396556,-0.145872,-0.155407,0.005285,0.153292,-0.021095,0.278552,0.260373,0.224709,0.059538,0.25578,-0.035476,0.126042,0.011369,0.078656,0
-0.084926,0.036647,0.154886,0.232941,-0.005884,0.277853,-0.125109,0.081241,0.025129,0.006876,0.02935,-0.083531,0.266959,0.031713,0.02103,-0.195836,0.058734,-0.072303,0.006277,-0.229685,0.024424,0.0069,-0.192924,0.015366,-0.099578,-0.156863,-0.011504,0.106834,0.179362,-0.122058,0.118572,0.088924,-0.103319,0.221378,0.180993,0.000256,-0.19286,-0.089689,0.026209,-0.014848,-0.005925,-0.042121,-0.236061,-0.087249,-0.077879,0.004244,0.094023,-0.020427,0.189227,0.1568,0.140935,0.03792,0.144639,-0.015015,0.066146,0.017714,0.029771,0
-2.209836,0.867303,4.005053,6.047939,0.019061,7.329419,-3.513852,2.142801,0.824393,-0.138209,1.074868,-1.940699,6.706279,0.896088,0.854457,-4.786223,1.488081,-1.796504,-0.192529,-6.13992,0.770482,0.282537,-5.102966,0.358927,-2.524438,-3.948413,-0.426327,2.446601,4.23356,-3.173705,3.160682,2.263631,-2.42422,5.930259,5.015797,0.016907,-5.035813,-2.108925,-0.003842,-0.46276,-0.366341,-0.985817,-6.260315,-1.997772,-2.322805,0.282304,2.390608,-0.233814,4.816297,4.00249,3.657723,1.060813,3.896514,-0.4627,1.950677,0.196384,1.060768,1
-0.626842,0.242855,1.13522,1.708246,0.000871,2.077931,-0.997973,0.610296,0.234878,-0.046886,0.316227,-0.546371,1.908349,0.264956,0.244595,-1.360897,0.417636,-0.50396,-0.055693,-1.748704,0.213571,0.076188,-1.45539,0.09835,-0.720207,-1.124253,-0.117169,0.697317,1.207939,-0.899189,0.903945,0.6454,-0.687822,1.687264,1.427799,0.003212,-1.423975,-0.600299,-0.003768,-0.13621,-0.107463,-0.280656,-1.785481,-0.556555,-0.654198,0.086062,0.677907,-0.075621,1.367345,1.132472,1.044875,0.299079,1.098303,-0.128565,0.554134,0.055388,0.306171,1
-1.194327,0.443615,2.216785,3.371786,0.001587,4.084824,-1.927626,1.171488,0.414834,-0.086713,0.60087,-1.047561,3.67982,0.546637,0.529363,-2.644668,0.82422,-0.962559,-0.105418,-3.31993,0.392437,0.20843,-2.802669,0.192315,-1.402337,-2.19695,-0.254744,1.283271,2.321681,-1.746013,1.727198,1.312685,-1.322501,3.286229,2.759158,0.047269,-2.764235,-1.17651,-0.000435,-0.257042,-0.219952,-0.581656,-3.440962,-1.0857,-1.253298,0.12644,1.313678,-0.187415,2.627169,2.233284,2.016426,0.563011,2.132403,-0.288092,1.055731,0.113549,0.558117,1
-0.637139,0.260047,1.152537,1.735031,0.006509,2.09922,-1.016019,0.626641,0.228382,-0.039053,0.316682,-0.5561,1.927837,0.269822,0.255419,-1.383668,0.428117,-0.508204,-0.061996,-1.762882,0.221925,0.080215,-1.474583,0.082705,-0.726396,-1.138696,-0.117644,0.694756,1.229505,-0.917296,0.898908,0.652617,-0.681641,1.704636,1.441994,0.002859,-1.447553,-0.611595,-0.008522,-0.138537,-0.111362,-0.275473,-1.798667,-0.569919,-0.657781,0.084784,0.678578,-0.056825,1.38666,1.165458,1.039439,0.308314,1.119189,-0.132836,0.560073,0.059963,0.311906,0
-0.728451,0.279578,1.314798,1.984796,-0.000244,2.410252,-1.15767,0.709464,0.261935,-0.050825,0.352211,-0.639011,2.219471,0.306618,0.279669,-1.577512,0.486382,-0.58962,-0.064834,-2.015864,0.253778,0.094233,-1.677085,0.106787,-0.829079,-1.293656,-0.132688,0.813138,1.389271,-1.047931,1.055827,0.754793,-0.803561,1.953272,1.6434,0.010551,-1.652315,-0.699198,-0.007661,-0.155248,-0.122157,-0.325556,-2.061757,-0.657118,-0.761964,0.100928,0.789659,-0.084945,1.578057,1.321634,1.201752,0.348595,1.270797,-0.156629,0.644348,0.059319,0.359349,0
-1.471355,0.591262,2.712588,4.080836,0.014452,4.947714,-2.363003,1.444735,0.550323,-0.078149,0.730078,-1.329198,4.543627,0.601393,0.566977,-3.229126,0.99669,-1.215745,-0.1423,-4.146798,0.5174,0.177614,-3.453871,0.236643,-1.706025,-2.672411,-0.293521,1.661587,2.865124,-2.126698,2.16112,1.535249,-1.643789,4.030874,3.395419,0.014828,-3.403951,-1.43508,0.004766,-0.315194,-0.255079,-0.681683,-4.224073,-1.365951,-1.546142,0.178619,1.613308,-0.1611,3.245267,2.713017,2.447727,0.713114,2.645233,-0.321303,1.323214,0.146263,0.718513,1
-0.276542,0.12233,0.499499,0.754339,-0.012064,0.917675,-0.417678,0.272712,0.106491,-0.014182,0.145734,-0.241286,0.82829,0.110074,0.113494,-0.588614,0.18403,-0.218103,-0.027081,-0.777353,0.106064,0.006047,-0.64124,0.053191,-0.31158,-0.501875,-0.055967,0.290488,0.533233,-0.396317,0.405747,0.293687,-0.313713,0.732356,0.631997,-0.003038,-0.628811,-0.265086,-0.017584,-0.05036,-0.058695,-0.129403,-0.788122,-0.248555,-0.290274,0.059462,0.27169,-0.036332,0.607542,0.510969,0.463514,0.119879,0.470698,-0.052319,0.23815,0.019657,0.118859,0
-1.154187,0.434356,2.051079,3.083832,0.034499,3.799845,-1.816856,1.104784,0.414419,-0.074679,0.526597,-0.998744,3.446792,0.411457,0.392291,-2.429099,0.786479,-0.944144,-0.151483,-3.13497,0.378993,0.164475,-2.662127,0.116435,-1.333187,-2.038048,-0.234453,1.253579,2.19462,-1.60292,1.629664,1.201354,-1.287406,3.080258,2.585684,0.012247,-2.656105,-1.044073,-0.01468,-0.271,-0.168276,-0.46344,-3.210402,-1.030038,-1.145371,0.189275,1.223908,-0.145858,2.49234,2.100998,1.925589,0.54455,2.002835,-0.244725,1.006439,0.112963,0.552049,1
-0.805244,0.321109,1.455741,2.223461,0.00884,2.731514,-1.282984,0.833277,0.277417,-0.049741,0.414341,-0.743688,2.482577,0.324866,0.3006,-1.793045,0.561769,-0.656153,-0.094886,-2.262502,0.276305,0.08867,-1.896429,0.128967,-0.919825,-1.472777,-0.161088,0.894132,1.565567,-1.167885,1.154483,0.838229,-0.91466,2.211743,1.8488,0.002991,-1.847252,-0.785627,-0.005096,-0.203852,-0.153295,-0.38175,-2.329744,-0.756316,-0.898822,0.094856,0.910181,-0.05257,1.760495,1.499029,1.350148,0.386508,1.45026,-0.167666,0.713,0.073537,0.401502,1
-0.425231,0.158351,0.772791,1.159652,0.003618,1.400684,-0.671565,0.416838,0.147262,-0.023337,0.198646,-0.366997,1.305558,0.183271,0.161837,-0.941972,0.287615,-0.345765,-0.047124,-1.186578,0.147413,0.054171,-0.992236,0.064965,-0.484904,-0.758606,-0.078302,0.472541,0.822187,-0.613806,0.614636,0.442824,-0.469355,1.150519,0.96744,0.011061,-0.973002,-0.417393,-0.006171,-0.090278,-0.073335,-0.185654,-1.2092,-0.390785,-0.451021,0.059905,0.455223,-0.041515,0.922863,0.782337,0.709504,0.207298,0.753598,-0.085146,0.366605,0.040495,0.200515,0
-0.464673,0.193012,0.871127,1.301141,0.007799,1.563289,-0.753596,0.473146,0.174926,-0.009396,0.2275,-0.417209,1.44307,0.185764,0.172936,-1.026174,0.300843,-0.381931,-0.051409,-1.321946,0.169827,0.064536,-1.115447,0.080759,-0.548405,-0.868535,-0.080261,0.536028,0.910663,-0.679434,0.679289,0.471476,-0.518676,1.291331,1.080352,0.015523,-1.067978,-0.457026,-0.019049,-0.104079,-0.064992,-0.224857,-1.354269,-0.419315,-0.477122,0.051685,0.514912,-0.050235,1.030061,0.867332,0.782171,0.2199,0.845046,-0.102942,0.408883,0.043606,0.228713,1
-1.298838,0.521879,2.332775,3.533377,-0.002748,4.295837,-2.057282,1.259601,0.463829,-0.084308,0.619432,-1.156018,3.934004,0.531957,0.506827,-2.809284,0.87364,-1.063752,-0.116261,-3.582273,0.460891,0.158891,-2.979025,0.219099,-1.475772,-2.304324,-0.231516,1.432583,2.470269,-1.859898,1.873356,1.344463,-1.425227,3.484732,2.932269,0.016678,-2.944254,-1.236519,-0.002999,-0.263018,-0.206586,-0.577157,-3.663136,-1.173414,-1.357743,0.169751,1.397808,-0.148972,2.803744,2.353933,2.136647,0.622951,2.270265,-0.278011,1.152531,0.108749,0.644037,0
-0.482354,0.197142,0.892047,1.341571,0.003278,1.616258,-0.767422,0.493988,0.197968,-0.031335,0.244007,-0.421576,1.488902,0.199764,0.18873,-1.065619,0.343132,-0.397715,-0.039666,-1.371459,0.166615,0.072728,-1.149322,0.0815,-0.547927,-0.855034,-0.07799,0.542551,0.930269,-0.703056,0.691822,0.50916,-0.530016,1.325835,1.127553,-0.001058,-1.141077,-0.483271,0.004058,-0.105501,-0.088052,-0.224733,-1.378486,-0.448822,-0.513019,0.062581,0.543332,-0.073184,1.065014,0.886515,0.829188,0.22634,0.854775,-0.098455,0.445368,0.031955,0.246751,0
-0.186256,0.078847,0.38175,0.561987,-0.015404,0.699186,-0.330932,0.213815,0.085867,-0.009019,0.112859,-0.170513,0.574739,0.115564,0.066541,-0.451349,0.127822,-0.185183,-0.005258,-0.547882,0.078332,0.03695,-0.469423,0.009312,-0.211771,-0.371864,-0.021059,0.255389,0.387502,-0.275915,0.313208,0.220927,-0.242325,0.554678,0.469038,-0.00663,-0.451531,-0.182582,-0.004938,-0.010144,-0.029183,-0.070191,-0.591662,-0.200859,-0.214289,0.040758,0.227827,-0.013451,0.431721,0.388767,0.326569,0.124269,0.336561,-0.060537,0.176165,0.004691,0.127932,0
